name,address,number,picture,stars,quality,delivery,accuracy
"Bogan - Dickinson","75661 Evie Valley","(136) 765-9593","http://lorempixel.com/640/480/food",1,67,10,38
"Schoen - Considine","613 Eleazar Club","511-530-5242","http://lorempixel.com/640/480/food",2,44,75,57
"Bahringer Inc","49954 Greenholt Route","1-446-543-8853 x21767","http://lorempixel.com/640/480/food",2,66,93,47
"Abshire, Lubowitz and Langworth","541 Isai Ways","350-260-3982 x30976","http://lorempixel.com/640/480/food",3,3,81,75
"Krajcik Group","68265 Godfrey Inlet","(714) 416-0958 x204","http://lorempixel.com/640/480/food",3,65,69,69
"Heller, Goyette and Carroll","56238 Blair Rapid","1-084-226-8073 x0015","http://lorempixel.com/640/480/food",0,83,49,98
"Metz, Leuschke and Walter","73270 Hansen Bypass","530.466.6573","http://lorempixel.com/640/480/food",4,90,59,65
"Greenholt Group","55318 Kuvalis Streets","297-577-0693 x14016","http://lorempixel.com/640/480/food",1,18,26,37
"Eichmann, Graham and Rohan","841 Carroll Crossing","1-269-372-5213 x965","http://lorempixel.com/640/480/food",0,95,88,99
"Swift, Brekke and Wilkinson","582 Genesis Expressway","(345) 434-2233 x492","http://lorempixel.com/640/480/food",5,35,15,82
"Beahan, Lind and Koss","4960 Bridie Ramp","(833) 212-4046","http://lorempixel.com/640/480/food",5,47,17,79
"Dach, Ratke and Kassulke","85081 Valerie Hills","347.377.5865","http://lorempixel.com/640/480/food",1,83,63,17
"Prosacco, Volkman and Cruickshank","14401 Collier Ranch","1-020-365-0692","http://lorempixel.com/640/480/food",2,28,63,19
"Blanda, Kautzer and Mertz","793 DuBuque Pines","777.587.1374","http://lorempixel.com/640/480/food",2,2,74,48
"Bruen - Greenholt","412 Block Flat","051-715-7001 x258","http://lorempixel.com/640/480/food",5,51,39,0
"Tromp Inc","3624 Everardo Radial","(873) 122-5666","http://lorempixel.com/640/480/food",4,74,60,1
"Murphy LLC","814 Flatley Walks","(664) 824-8795 x49358","http://lorempixel.com/640/480/food",0,81,83,68
"Hodkiewicz, Stroman and Nicolas","4560 Pfeffer Mews","(678) 926-9373","http://lorempixel.com/640/480/food",0,46,10,57
"Botsford Group","58635 Tiara Spur","917.083.8470 x762","http://lorempixel.com/640/480/food",4,85,84,85
"Gleason and Sons","552 Gleason Mountains","363.266.7598 x95966","http://lorempixel.com/640/480/food",5,19,44,75
"Hamill, Ryan and Lowe","85104 Adele Courts","(244) 436-7294 x3508","http://lorempixel.com/640/480/food",2,77,100,35
"Feil - Tremblay","288 Leopoldo Well","(022) 975-1753","http://lorempixel.com/640/480/food",3,76,81,20
"Christiansen, Reichert and Schmidt","805 Goldner Spur","(617) 756-8971 x68698","http://lorempixel.com/640/480/food",1,65,67,48
"O'Reilly Group","68551 Jeff Port","419.338.3784","http://lorempixel.com/640/480/food",1,69,10,98
"Koelpin - Spinka","2523 Walter Plaza","(665) 556-9836 x102","http://lorempixel.com/640/480/food",1,49,19,26
"Schaden Inc","0645 Reichert Passage","1-350-951-3609","http://lorempixel.com/640/480/food",1,95,42,1
"Monahan Group","47781 Korbin Isle","505.952.5628","http://lorempixel.com/640/480/food",4,82,88,31
"Conn Group","9357 Pollich Springs","1-792-771-1356 x144","http://lorempixel.com/640/480/food",4,20,44,65
"Klein - Hermiston","534 Arthur Viaduct","1-420-611-9951 x124","http://lorempixel.com/640/480/food",1,4,6,64
"Cronin, Hoeger and Bins","2824 Kale Gateway","1-168-854-8558 x0562","http://lorempixel.com/640/480/food",4,15,78,75
"Hodkiewicz and Sons","7134 Daugherty Views","362.303.6830","http://lorempixel.com/640/480/food",1,11,96,56
"Ernser, Keeling and Goodwin","29009 Titus Burg","(876) 420-4033","http://lorempixel.com/640/480/food",3,17,87,79
"Reichel, Abbott and Klocko","0069 Russel Walks","(305) 054-0954","http://lorempixel.com/640/480/food",0,68,91,74
"Heathcote, Terry and Greenfelder","11877 Jenkins Drive","1-138-118-9843 x247","http://lorempixel.com/640/480/food",2,12,62,85
"Carroll - Jenkins","234 Weimann Square","(184) 925-0824","http://lorempixel.com/640/480/food",2,17,72,16
"Kutch, Ziemann and Predovic","18534 Chester Branch","985.473.8067 x227","http://lorempixel.com/640/480/food",4,53,0,29
"Reinger Inc","8998 Wyman Underpass","473-436-8971 x36592","http://lorempixel.com/640/480/food",1,74,46,45
"King - Oberbrunner","769 Champlin Prairie","187-027-0643 x969","http://lorempixel.com/640/480/food",2,47,23,22
"Streich, Lesch and McKenzie","946 Ayana Pine","687-415-8057","http://lorempixel.com/640/480/food",2,51,75,58
"Paucek, Bashirian and Carroll","973 Tyson Coves","849.793.9154","http://lorempixel.com/640/480/food",4,4,5,97
"Cormier - Tromp","17880 Volkman Mill","720.314.3174","http://lorempixel.com/640/480/food",3,58,41,99
"Macejkovic - Fahey","05322 Hershel Lakes","(229) 835-4463","http://lorempixel.com/640/480/food",3,2,58,12
"Veum and Sons","898 Durgan Turnpike","719-843-3749","http://lorempixel.com/640/480/food",0,76,63,60
"O'Keefe Group","85904 Sydnee Via","1-007-898-2559","http://lorempixel.com/640/480/food",2,48,73,64
"Volkman, Huel and Grimes","617 Howe Causeway","(971) 493-3280 x424","http://lorempixel.com/640/480/food",3,51,72,4
"Torphy Inc","487 Bernadine Expressway","881-240-9309","http://lorempixel.com/640/480/food",1,81,72,66
"Langosh and Sons","876 Wolff Tunnel","(684) 890-1040 x20041","http://lorempixel.com/640/480/food",4,97,18,78
"Nicolas - Ziemann","36097 DuBuque Locks","(778) 626-5020 x4386","http://lorempixel.com/640/480/food",2,85,76,53
"Muller and Sons","9226 Block Trafficway","(605) 897-7095 x81560","http://lorempixel.com/640/480/food",4,17,43,10
"Hartmann LLC","3487 Santino Mews","1-797-349-1689 x618","http://lorempixel.com/640/480/food",4,67,29,31
"Roob Group","937 Marquis Trail","(652) 925-4844","http://lorempixel.com/640/480/food",5,68,36,81
"Hills, Medhurst and Larkin","5055 Anastacio Village","(651) 166-1542 x6117","http://lorempixel.com/640/480/food",0,27,17,76
"Nikolaus - Glover","87075 Kane Wall","1-339-172-0045 x9186","http://lorempixel.com/640/480/food",5,80,97,28
"Schumm - Krajcik","484 Kaylin Neck","793-672-6305 x764","http://lorempixel.com/640/480/food",5,92,61,0
"Williamson Group","626 Schiller Parks","147.540.7495","http://lorempixel.com/640/480/food",4,53,71,52
"Rosenbaum and Sons","0848 Akeem Ports","322-847-1411 x12199","http://lorempixel.com/640/480/food",0,51,95,46
"Mante - Lindgren","570 Carole Terrace","420-335-1049 x267","http://lorempixel.com/640/480/food",3,48,83,50
"Kovacek Inc","62763 Royal Gateway","723.404.9093 x313","http://lorempixel.com/640/480/food",2,81,41,21
"Gorczany - Weissnat","5284 Graham Port","157.915.4067","http://lorempixel.com/640/480/food",3,56,46,13
"Rogahn - Parker","58258 Howell Bypass","820-886-7671","http://lorempixel.com/640/480/food",4,68,24,96
"Kunde, Bergstrom and Sanford","994 Hessel Spur","113.192.1339","http://lorempixel.com/640/480/food",5,26,79,16
"Gorczany, Schaefer and Gorczany","987 Abel Road","753.212.0562","http://lorempixel.com/640/480/food",4,44,35,93
"Parker and Sons","56519 Morris Club","667.589.5084 x4159","http://lorempixel.com/640/480/food",5,22,13,77
"Treutel - Gottlieb","99975 Cummings Circles","839.563.0131","http://lorempixel.com/640/480/food",2,95,47,54
"Hickle - Bins","4549 Sigrid Forest","567-450-2494","http://lorempixel.com/640/480/food",0,39,27,50
"Eichmann and Sons","98606 Gorczany Light","(575) 131-7472 x696","http://lorempixel.com/640/480/food",4,51,86,23
"Mueller, Luettgen and Batz","14211 Mayer Loaf","(100) 961-7270 x439","http://lorempixel.com/640/480/food",4,26,31,91
"Von - Bosco","224 Emmet Walks","1-966-273-6328 x269","http://lorempixel.com/640/480/food",0,62,27,91
"Harber - Effertz","06080 Ellen Unions","730-154-2329","http://lorempixel.com/640/480/food",3,44,47,59
"Buckridge, Bahringer and Kovacek","6775 Conn River","004.706.6294 x735","http://lorempixel.com/640/480/food",0,20,67,20
"Kihn Inc","61439 Cielo Roads","1-769-208-8744","http://lorempixel.com/640/480/food",5,0,94,44
"Mitchell, Langosh and Steuber","238 Alanna Lakes","454-851-6191","http://lorempixel.com/640/480/food",0,28,6,6
"Jerde and Sons","154 Wilburn Walk","585-637-8581 x546","http://lorempixel.com/640/480/food",3,3,14,44
"Maggio, Barrows and Langosh","4654 Walter Shore","349.187.2825 x59951","http://lorempixel.com/640/480/food",3,76,24,12
"Douglas, Miller and Reilly","819 Luettgen Falls","909.940.1497","http://lorempixel.com/640/480/food",1,1,89,91
"Muller - Quigley","9643 Warren Glen","(133) 988-4209","http://lorempixel.com/640/480/food",3,54,87,31
"Hessel Group","318 Santos Via","210-180-7599 x337","http://lorempixel.com/640/480/food",3,99,95,27
"Rowe - O'Connell","36602 Gorczany Greens","562-657-8793 x803","http://lorempixel.com/640/480/food",1,78,30,4
"Hartmann Inc","16627 Anibal Cliffs","462-545-0534 x3486","http://lorempixel.com/640/480/food",2,25,3,69
"Barton - Gibson","0260 Klein Road","869-972-1914 x631","http://lorempixel.com/640/480/food",5,0,43,25
"Herzog, Padberg and Oberbrunner","40155 Goyette Valley","350-408-7519 x960","http://lorempixel.com/640/480/food",3,89,17,83
"Hintz Inc","299 Medhurst Ports","(881) 878-4558 x9194","http://lorempixel.com/640/480/food",5,72,51,14
"VonRueden, Kreiger and Mann","386 Nora Plaza","1-562-922-3315 x542","http://lorempixel.com/640/480/food",0,9,12,29
"Collier LLC","16118 Murazik Fields","237.321.2255","http://lorempixel.com/640/480/food",0,58,90,87
"Kerluke and Sons","71229 Keeley Villages","1-870-469-3943 x49122","http://lorempixel.com/640/480/food",4,80,29,3
"Willms, Rempel and Torphy","39287 Schiller Course","327-280-0735 x9509","http://lorempixel.com/640/480/food",2,85,30,80
"Johnson, Bechtelar and Rolfson","46720 Carlie Springs","316-492-9651","http://lorempixel.com/640/480/food",4,66,19,43
"Wyman - Jacobson","9368 Huels Squares","671-313-2045 x3861","http://lorempixel.com/640/480/food",0,34,5,10
"Stiedemann Group","78665 Rhianna Pass","(162) 683-4456 x5975","http://lorempixel.com/640/480/food",5,41,54,59
"Eichmann - Langosh","2371 Herminia Views","1-754-721-6313 x423","http://lorempixel.com/640/480/food",3,54,12,34
"Gutkowski LLC","12849 Hills Ferry","(093) 898-2418 x1008","http://lorempixel.com/640/480/food",4,60,28,20
"Streich Group","27773 Stoltenberg Skyway","377-816-1933 x8784","http://lorempixel.com/640/480/food",1,91,48,8
"Gaylord Inc","98199 Hessel Roads","(676) 163-6894","http://lorempixel.com/640/480/food",4,4,66,81
"Paucek Group","439 Michale Ways","(316) 924-6658 x4211","http://lorempixel.com/640/480/food",0,86,56,5
"Rempel LLC","764 Goldner Neck","1-141-795-0469 x53057","http://lorempixel.com/640/480/food",2,78,9,82
"Monahan, Kuhn and Koepp","195 Ziemann Cliff","030.599.7734 x746","http://lorempixel.com/640/480/food",5,20,46,81
"Rohan Inc","9628 Vicky Underpass","864.625.7190 x17378","http://lorempixel.com/640/480/food",3,21,30,51
"Ziemann, Cassin and Friesen","4776 Kemmer Crescent","399-875-9815","http://lorempixel.com/640/480/food",5,61,75,87
"McCullough, Thiel and Leffler","233 Tia Isle","1-229-933-4561 x43302","http://lorempixel.com/640/480/food",2,12,93,47
"Willms Inc","04930 Brice Ports","188-954-3633 x451","http://lorempixel.com/640/480/food",2,35,7,90
"Leuschke Inc","298 Carter Tunnel","1-747-359-4629","http://lorempixel.com/640/480/food",5,82,21,38
"Jakubowski - Blanda","8143 Dibbert Hollow","878-599-6914 x97833","http://lorempixel.com/640/480/food",4,52,40,0
"Hettinger and Sons","503 Sanford Hills","323.969.5374 x34758","http://lorempixel.com/640/480/food",1,22,87,41
"Bergnaum, Boyle and Graham","797 Valerie Summit","1-169-425-5258 x3809","http://lorempixel.com/640/480/food",3,88,15,80
